AFFX-MurIL2_at,AFFX-MurIL10_at,AFFX-MurIL4_at,AFFX-MurFAS_at,AFFX-hum_alu_at,AFFX-DapX-5_at,AFFX-DapX-M_at,AFFX-DapX-3_at,AFFX-LysX-5_at,AFFX-LysX-M_at,AFFX-LysX-3_at,AFFX-PheX-5_at,AFFX-PheX-M_at,AFFX-PheX-3_at,AFFX-ThrX-5_at,AFFX-ThrX-M_at,AFFX-ThrX-3_at,AFFX-TrpnX-5_at,AFFX-TrpnX-M_at,AFFX-TrpnX-3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,AFFX-HUMRGE/M10098_3_at,AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,AFFX-HSAC07/X00351_3_at,AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,AFFX-M27830_5_at,AFFX-M27830_M_at,AFFX-M27830_3_at,AFFX-HSAC07/X00351_3_st,AFFX-HUMGAPDH/M33197_5_st,AFFX-HUMGAPDH/M33197_M_st,AFFX-HUMGAPDH/M33197_3_st,AFFX-HSAC07/X00351_5_st,AFFX-HSAC07/X00351_M_st,AFFX-YEL002c/WBP1_at,AFFX-YEL018w/_at,AFFX-YEL024w/RIP1_at,AFFX-YEL021w/URA3_at,31307_at,31308_at,31309_r_at,31310_at,31311_at,31312_at,31313_at,31314_at,31315_at,31316_at,31317_r_at,31318_at,31319_at,31320_at,31321_at,31322_at,31323_r_at,31324_at,31325_at,31326_at,31327_at,31328_at,31329_at,31330_at,31331_at,31332_at,31333_at,31334_at,31335_at,31336_at,31337_at,31338_at,31339_at,31340_at,31341_at,31342_at,31343_at,31344_at,31345_at,31346_at,31347_at,31348_at,31349_at,31350_at,31351_at,31352_at,31353_f_at,31354_r_at,31355_at,31356_at,31357_at,Class
-161.8,34.8,-34.4,179.1,4796.7,12,19.3,-51.6,21.4,-135.8,115.6,-90.9,-140.3,97.8,48.3,32.1,-294.8,63.4,-124.7,25.7,705.9,1941.4,2190.1,5824.6,88.8,47.8,-217.3,24768.1,15750.1,20484.1,19274,23879.3,18871.7,364.6,296.5,624.7,7070.9,5854.2,-33.4,4218.9,87.3,350.1,480.5,-194.8,158,-2.2,-11.7,342.1,393.4,-135.7,-100.1,-94.6,-230,0.6,-50.4,-36.3,139.5,31.6,-32.2,1825.2,54.9,-197,-86.6,264.6,37.4,-317.3,478.8,-27.7,-433.5,-14.8,108.8,-11.7,23270.1,75.9,66.9,31.5,-52.9,-119.2,-15.9,-877.8,161.1,-195.4,44,-232,450.4,-70.7,292.1,-0.9,-289.7,-314.8,-93.4,-33.1,267.1,-552.4,120.6,735.3,-808.1,40.4,614.4,-182,0
-231,-102,-31,61,8931,-33,164,-6,-34,-215,159,-71,-70,177,-52,41,-272,95,-110,24,176,1148,1836,5642,-61,-395,-603,24668,16443,17240,16906,17710,16934,216,94,719,317,2827,206,3933,4,72,235,-235,325,93,-64,207,420,-80,-23,-6,-145,491,290,-235,41,4602,-37,3446,-53,-106,-167,438,154,-431,148,-354,-179,-108,107,-30,18296,3,50,73,-276,-56,47,-467,47,-226,150,192,517,-5,1,18,-17,-1613,-202,-174,56,-368,135,461,-765,-303,384,-15,0
-279,91,-30,148,13966,23,287,-114,90,-52,-3,-86,21,-3,143,24,-309,10,-115,-39,-5,46,263,726,407,231,348,21200,20660,25875,5658,8134,20759,357,313,497,32218,10367,668,4082,-299,327,295,-80,36,-10,-6,296,245,-91,-130,-27,-51,236,-163,-304,-35,498,-56,1997,-35,-103,-142,213,28,-58,153,-363,-585,-16,236,16,39059,-74,-27,66,-40,-164,-16,-595,51,-105,9,-387,286,-30,230,31,-264,92,-136,-152,151,-466,83,1047,-1064,-196,660,-156,0
-20,115,-10,29,12994,29,304,-73,-27,-126,181,-136,52,183,39,-13,-502,145,-6,27,26,-154,435,2648,-166,-394,-326,1121,8432,22975,2136,17482,18895,104,-186,7,39,1523,440,2566,-223,235,586,-136,-212,-7,-127,472,248,-144,-124,-26,-139,-88,34,-411,118,-239,-104,2531,-74,-20,-65,346,-105,-401,-126,-57,-424,-17,-31,-62,25139,-48,-212,-101,-75,-342,-6,-496,-20,-91,79,-579,-12,-70,-119,-98,-14,-313,-111,-327,-240,-546,22,-425,-229,-90,231,-104,0
-268,128,80,337,10895,246,204,-311,0,-286,146,-96,-188,195,-1,17,-408,73,-225,17,841,3433,4261,8041,-79,-527,-657,33174,21884,25933,25594,28208,28817,392,141,656,204,1110,468,1509,84,215,328,-187,690,60,-154,138,202,-89,-25,-64,-112,452,183,107,233,38,-35,3644,-33,39,-553,476,193,-239,444,-575,-680,-15,5,41,31333,5,1,26,-79,-35,10,-604,0,-410,115,-414,692,-67,330,57,-623,-492,-338,-270,272,-240,233,1080,-1597,3,654,-151,0
-370,10,22,153,15493,119,338,-6,77,-390,84,-117,-50,191,122,-4,-473,113,-73,-84,64,231,714,1920,-55,-351,-341,14293,17768,24092,18453,24439,21392,233,-95,343,309,211,1091,3614,-107,468,424,-255,152,0,4,206,578,-70,-26,32,-74,310,70,-318,77,1038,-81,1639,33,54,-280,726,42,67,93,-390,-845,-40,34,22,24447,-68,-26,-17,0,353,24,-1142,2,-176,-37,69,371,-31,426,12,-200,-107,-143,-296,315,-375,215,518,-1462,-35,686,-108,0
-50,30,35,14,11677,16,236,-32,65,-123,34,-69,10,233,40,0,-313,98,-273,-16,38,460,767,2572,96,-240,-538,14702,17858,24548,20029,27110,25956,143,174,504,64,1013,806,3291,-30,378,362,-152,192,-49,-104,181,411,-91,-26,-53,-114,82,34,-193,93,-67,-21,1682,16,-27,-234,343,81,-318,341,-241,-317,-59,88,1,28801,69,42,32,-67,-154,48,-232,28,-194,103,-71,332,18,257,36,-663,-206,-112,-225,-335,-401,159,393,-800,-124,658,-96,0
-455,-91,12,76,13701,37,164,-105,-12,-258,66,-89,-152,282,7,-22,-442,121,-380,-63,-123,493,708,2546,647,-599,-236,11940,17853,23240,16325,23773,24879,384,502,3239,129,1785,1407,4285,34,220,516,-328,441,19,-244,343,696,-141,-46,10,-46,653,100,-251,158,591,-79,2733,35,27,-314,848,121,218,390,-231,-341,-27,52,-11,27899,37,90,-30,229,-188,34,-644,39,-273,0,-69,433,1,150,38,-116,-1173,-241,-367,-187,-330,161,822,-813,1,438,-174,0
-105,12,18,81,21914,156,296,-10,50,-274,152,-156,-188,286,3,-33,-302,24,-261,-63,4,263,485,1596,-159,-264,-189,1749,11634,30990,5996,24964,30818,99,-50,232,62,1792,784,5994,27,233,607,-217,184,-96,-189,280,640,-136,99,-35,-139,-109,-39,-137,73,43,-70,1901,-58,20,-700,585,73,76,203,-312,-56,-23,98,6,32069,-51,18,-34,-19,-126,5,-1024,-3,-161,81,-305,292,-87,99,37,-269,-2000,-263,-489,88,-77,187,723,-998,-145,411,-115,0
-377,270,52,195,13842,138,245,5,-29,-190,277,-156,-493,-15,246,-70,-806,-1,-385,36,-7,331,903,2528,-365,-409,-533,5184,15516,18722,7456,24002,23414,171,14,831,250,1085,781,5017,1,708,722,-185,93,-66,-192,249,489,-374,40,-12,-54,335,-460,-212,319,-56,-101,2942,-51,28,-734,1048,-12,-101,275,-421,-524,-118,15,-8,23132,92,-57,84,-11,-84,-59,-903,-34,-235,104,1050,225,137,44,3,-372,-1821,-791,-687,168,-193,103,630,-1218,-155,951,-290,0
